Date,Filename,Title,Download_url,Source,CVE,MITRE_ID,YARA,Threat_actor,Threat_country,Motivation,First_seen,Victim_country,Zero-day,Attack_vector,Malware,Target_sector,Attack_start_date,Attack_end_date,Attack_duration
2014-01-06,airbus-cyber-security.com-PlugX some uncovered points,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.01.06.PlugX/airbus-cyber-security.com-PlugX%20some%20uncovered%20points.pdf,360,,,,,,,,,,,"PlugX, Destory",,,,
2014-01-13,targeted_attacks_against_the_energy_sector,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.01.13.Targeted_Attacks_Energy_Sector/targeted_attacks_against_the_energy_sector.pdf,Symantec,CVE-2010-2568,,,,,,,,FALSE,"Spear Phishing, Watering Hole, Social Engineering, Malicious Documents","Poison Ivy Trojan Backdoor.Darkmoon, Trojan droppers, Backdoor.Trojan, Shamoon/Disttrack","Government and Defense Agencies, Energy and Utilities",,,
2014-01-14,securelist.com-The Icefog APT Hits US Targets With Java Backdoor,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.01.14.Icefog_APT/securelist.com-The%20Icefog%20APT%20Hits%20US%20Targets%20With%20Java%20Backdoor.pdf,CrowdStrike,,,,icefog,CN,"Espionage, Information theft and espionage",2014,"JP, KR, US",,"Exploit Vulnerability, Malicious Documents","Javafog, Icefog, JSUNPACK","Government and Defense Agencies, Corporations and Businesses, Energy and Utilities, Manufacturing",,,
2014-01-15,FTA 1001 FINAL 1.15.14,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.01.15.Sneakernet_Trojan/FTA%201001%20FINAL%201.15.14.pdf,Fidelis Cybersecurity,,,,,,,,,,Removable Media,"netsat.exe, netui3.dll, winmgt.dll",,2012-12-14,2014-01-08,390.0
2014-01-21,h12756-wp-shell-crew,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.01.21.Shell_Crew/h12756-wp-shell-crew.pdf,RSA,CVE-2010-2861,,,shell crew,CN,"Financial crime, Information theft and espionage",2010,,FALSE,Exploit Vulnerability,"notepad.exe, inetinfo.exe, mszip.exe, Trojan.Derusbi, sethc.exe, Web shells",,,,
2014-01-31,FTA 1011 Follow UP,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.01.31.Sneakernet_Trojan/FTA%201011%20Follow%20UP.pdf,Fidelis Cybersecurity,,,,,,,,,,Removable Media,"netsat.exe, netui3.dll, Autorun.inf, ~disk.ini, netwi.drv, setup35.exe",,,,
2014-02-01,Unveiling 'Careto' - The Masked APT,,https://d2538mqrb7brka.cloudfront.net/wp-content/uploads/sites/43/2018/03/20133638/unveilingthemask_v1.0.pdf,Kaspersky,"CVE-2011-3544, CVE-2012-0773",,,mask,ES,"Espionage, Information theft and espionage",2007,"CU, ES, FR, MA, VE",TRUE,Spear Phishing,"JavaUpdate.jar, javaupdt.exe, objframe.dll, SGH, Careto, Metasploit (win7elevate module), The Mask","Government and Defense Agencies, Corporations and Businesses, Financial Institutions, Energy and Utilities, Education and Research Institutions, Non-Governmental Organizations (NGOs) and Nonprofits",,,
2014-02-13,Operation_SnowMan,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.13_Operation_SnowMan/Operation_SnowMan.pdf,FireEye,CVE-2014-0322,,,deputydog,CN,"Espionage, Information theft and espionage",2009,"JP, US",TRUE,"Watering Hole, Exploit Vulnerability","Gh0stRat, ZxShell backdoor","Government and Defense Agencies, Corporations and Businesses, Non-Governmental Organizations (NGOs) and Nonprofits",2013-05-02,2014-01-02,245.0
2014-02-19,XtremeRAT_fireeye,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.19.XtremeRAT/XtremeRAT_fireeye.pdf,FireEye,,,,molerats,PS,Information theft and espionage,2012,,,"Phishing, Malicious Documents","SpyEye, Citadel, Zeus, XtremeRAT, Poison Ivy","Energy and Utilities, Financial Institutions, Corporations and Businesses",,,
2014-02-19,The_Monju_Incident,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.02.19.Monju_Incident/The_Monju_Incident.pdf,Contextis,,,"rule Trojan_W32_Gh0stMiancha_1_0_0 \n{ \n   strings: \n       $0x = { 57 5b 5a 5a 51 57 40 34 31 67 2e 31 70 34 5c 40 40 44 3b 25 3a 19 1e 5c 7b \n67 60 2e 34 31 67 2e 31 70 19 1e 55 77 77 71 64 60 2e 34 3e 3b 3e 19 1e 57 7b 7a 60 71 7a \n60 39 40 6d 64 71 2e 34 60 71 6c 60 3b 7c 60 79 78 19 1e 44 66 7b 6c 6d 39 57 7b 7a 7a 71 \n77 60 7d 7b 7a 2e 34 5f 71 71 64 39 55 78 7d 62 71 19 1e 57 7b 7a 60 71 7a 60 39 78 71 7a \n73 60 7c 2e 34 24 19 1e 19 1e } \n       $1 = { 5c e7 99 bd e5 8a a0 e9 bb 91 5c } \n       $1x = { 48 f3 8d a9 f1 9e b4 fd af 85 48 } \n       $2 = ""DllCanLoadNow"" \n       $2x = { 50 78 78 57 75 7a 58 7b 75 70 5a 7b 63 } \n       $3x = { 5a 61 79 76 71 66 34 7b 72 34 67 61 76 7f 71 6d 67 2e 34 31 70 } \n       $4 = ""JXNcc2hlbGxcb3Blblxjb21tYW5k"" \n       $4x = { 5e 4c 5a 77 77 26 7c 78 76 53 6c 77 76 27 56 78 76 78 6c 7e 76 26 25 60 4d \n43 21 7f } \n       $5 = ""SEFSRFdBUkVcREVTQ1JJUFRJT05cU3lzdGVtXENlbnRyYWxQcm9jZXNzb3JcMA=="" \n       $5x = { 47 51 52 47 46 52 70 56 41 7f 42 77 46 51 42 40 45 25 5e 5e 41 52 46 5e 40 \n24 21 77 41 27 78 6e 70 53 42 60 4c 51 5a 78 76 7a 46 6d 4d 43 6c 45 77 79 2d 7e 4e 4c 5a \n6e 76 27 5e 77 59 55 29 29 } \n       $6 = ""C:\\\\Users\\\\why\\\\"" \n       $6x = { 57 2e 48 41 67 71 66 67 48 63 7c 6d 48 } \n       $7 = ""g:\\\\ykcx\\\\"" \n       $7x = { 73 2E 48 6D 7F 77 6C 48 } \n       $8 = ""(miansha)"" \n       $8x = { 3C 79 7D 75 7A 67 7C 75 3D } \n       $9 = ""server(\\xE5\\xA3\\xB3)"" \n       $9x = { 7C 2E 48 26 24 25 27 3A 25 25 3A 26 21 48 67 71 66 62 71 66 3C F1 B7 A7 3D \n48 46 71 78 71 75 67 71 48 67 71 66 62 71 66 3A 64 70 76 } \n       $cfgDecode = { 8a ?? ?? 80 c2 7a 80 f2 19 88 ?? ?? 41 3b ce 7c ??} \n   condition: \n       any of them \n}",,,,,JP,FALSE,Watering Hole,"Gh0st RAT, GOM Player, Backdoor.Miancha",Energy and Utilities,2011-10-15,2014-01-16,824.0
